+--------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                          | Value                                                                                                                                                                                                                                                                                                                                            |
+--------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| auto_increment_increment                               | 1                                                                                                                                                                                                                                                                                                                                                |
| auto_increment_offset                                  | 1                                                                                                                                                                                                                                                                                                                                                |
| autocommit                                             | ON                                                                                                                                                                                                                                                                                                                                               |
| automatic_sp_privileges                                | ON                                                                                                                                                                                                                                                                                                                                               |
| avoid_temporal_upgrade                                 | OFF                                                                                                                                                                                                                                                                                                                                              |
| back_log                                               | 80                                                                                                                                                                                                                                                                                                                                               |
| basedir                                                | /usr                                                                                                                                                                                                                                                                                                                                             |
| big_tables                                             | OFF                                                                                                                                                                                                                                                                                                                                              |
| bind_address                                           | *                                                                                                                                                                                                                                                                                                                                                |
| binlog_cache_size                                      | 32768                                                                                                                                                                                                                                                                                                                                            |
| binlog_checksum                                        | CRC32                                                                                                                                                                                                                                                                                                                                            |
| binlog_direct_non_transactional_updates                | OFF                                                                                                                                                                                                                                                                                                                                              |
| binlog_error_action                                    | IGNORE_ERROR                                                                                                                                                                                                                                                                                                                                     |
| binlog_format                                          | STATEMENT                                                                                                                                                                                                                                                                                                                                        |
| binlog_gtid_simple_recovery                            | OFF                                                                                                                                                                                                                                                                                                                                              |
| binlog_max_flush_queue_time                            | 0                                                                                                                                                                                                                                                                                                                                                |
| binlog_order_commits                                   | ON                                                                                                                                                                                                                                                                                                                                               |
| binlog_row_image                                       | FULL                                                                                                                                                                                                                                                                                                                                             |
| binlog_rows_query_log_events                           | OFF                                                                                                                                                                                                                                                                                                                                              |
| binlog_stmt_cache_size                                 | 32768                                                                                                                                                                                                                                                                                                                                            |
| binlogging_impossible_mode                             | IGNORE_ERROR                                                                                                                                                                                                                                                                                                                                     |
| block_encryption_mode                                  | aes-128-ecb                                                                                                                                                                                                                                                                                                                                      |
| bulk_insert_buffer_size                                | 8388608                                                                                                                                                                                                                                                                                                                                          |
| character_set_client                                   | latin1                                                                                                                                                                                                                                                                                                                                           |
| character_set_connection                               | latin1                                                                                                                                                                                                                                                                                                                                           |
| character_set_database                                 | latin1                                                                                                                                                                                                                                                                                                                                           |
| character_set_filesystem                               | binary                                                                                                                                                                                                                                                                                                                                           |
